1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S
5,1.5,1,"Braund, Mr. Owen Harris",male,37,0.5,0,A/5 21172,53.4375,,S
6,1.8,0.6,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,39.7,0.4,0,PC 17600,60.85667,,Q
7,2.1,0.2,"Heikkinen, Miss. Laina",female,42.4,0.3,0,STON/O2. 3101283,68.27584,E46,S
8,2.4,-0.2,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,45.1,0.2,0,113803,75.69501,,S
9,2.7,-0.6,"Braund, Mr. Owen Harris",male,47.8,0.1,0,A/5 21173,83.11418,,S
10,3,-1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,50.5,-1.11022E-16,0,PC 17601,90.53335,,C
11,3.3,-1.4,"Heikkinen, Miss. Laina",female,53.2,-0.1,0,STON/O2. 3101284,97.95252,G6,S
12,3.6,-1.8,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,55.9,-0.2,0,113803,105.37169,C103,S
13,3.9,-2.2,"Braund, Mr. Owen Harris",male,58.6,-0.3,0,A/5 21174,112.79086,,S
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S
17,0,3,"Rice, Master. Eugene",male,19,4,1,382652,29.125,,Q
18,1,2,"Williams, Mr. Charles Eugene",male,20,0,0,244373,13,,S
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S
20,1,3,"Masselmani, Mrs. Fatima",female,40,0,0,2649,7.225,,C
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q
